latitud,longitud,nn,tipo,empresa,partido,localidad,subestacion,alimentador,afectados,normalizacion estimada,fecha_descarga,hora_descarga
-34.661428167,-58.367225803,11,media,Edesur,Avellaneda,Avellaneda,9 De Julio,R:279-1-12/279-1-12,392,2026-01-09 14:42,2026-01-09,12:49:28
-34.762616445,-58.402721105,11,media,Edesur,Lomas De Zamora,Lomas De Zamora,Heroes De Malvinas,R:076-2-21/076-2-21,188,Sin Datos,2026-01-09,12:49:28
-34.588029986,-58.596012746,12,media,Edenor,3 De Febrero,Martin Coronado,S/D,R:Rotonda/262-Tr1/262-5515,218,Sin Datos,2026-01-09,12:49:28
-34.462071312,-58.909315902,12,media,Edenor,Pilar,Pilar,S/D,R:Manzone/257-Tr2/257-5527,107,2026-01-09 12:15,2026-01-09,12:49:28
-34.692516866,-58.500897626,12,media,Edenor,La Matanza,Villa Madero,S/D,R:Tapiales/162-Tr2/162-5527,267,2026-01-09 16:00,2026-01-09,12:49:28
-34.690528144,-58.497175155,12,media,Edenor,La Matanza,Villa Madero,S/D,R:Tapiales/162-Tr2/162-5527,202,2026-01-09 16:00,2026-01-09,12:49:28
-34.692418246,-58.499348876,12,media,Edenor,La Matanza,Villa Madero,S/D,R:Tapiales/162-Tr2/162-5527,22,2026-01-09 16:00,2026-01-09,12:49:28
-34.691467979,-58.498207641,12,media,Edenor,La Matanza,Villa Madero,S/D,R:Tapiales/162-Tr2/162-5527,73,2026-01-09 16:00,2026-01-09,12:49:28
-34.805470556,-58.626848324,12,media,Edenor,La Matanza,Gonzalez Catan,S/D,R:Gonzalez Catan/168-Tr1/168-5511,341,2026-01-09 13:00,2026-01-09,12:49:28
-34.810830405,-58.622091893,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,363,2026-01-09 13:00,2026-01-09,12:49:28
-34.810787387,-58.624850037,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,109,2026-01-09 13:00,2026-01-09,12:49:28
-34.811810955,-58.623938895,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,87,2026-01-09 13:00,2026-01-09,12:49:28
-34.814836932,-58.627222506,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,21,2026-01-09 13:00,2026-01-09,12:49:28
-34.814026993,-58.624169705,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,15,2026-01-09 13:00,2026-01-09,12:49:28
-34.815189295,-58.625368956,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,15,2026-01-09 13:00,2026-01-09,12:49:28
-34.814065613,-58.623272968,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,35,2026-01-09 13:00,2026-01-09,12:49:28
-34.816233953,-58.625566103,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,24,2026-01-09 13:00,2026-01-09,12:49:28
-34.815470257,-58.624346984,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,10,2026-01-09 13:00,2026-01-09,12:49:28
-34.814959164,-58.623483112,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,10,2026-01-09 13:00,2026-01-09,12:49:28
-34.815637949,-58.623695376,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,14,2026-01-09 13:00,2026-01-09,12:49:28
-34.815035206,-58.622539489,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,40,2026-01-09 13:00,2026-01-09,12:49:28
-34.806405518,-58.623085907,12,media,Edenor,La Matanza,Gonzalez Catan,S/D,R:Gonzalez Catan/168-Tr1/168-5511,233,2026-01-09 13:00,2026-01-09,12:49:28
-34.812117572,-58.624600894,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,24,2026-01-09 13:00,2026-01-09,12:49:28
-34.814244493,-58.621104717,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,25,2026-01-09 13:00,2026-01-09,12:49:28
-34.813725655,-58.620100579,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,15,2026-01-09 13:00,2026-01-09,12:49:28
-34.808891916,-58.625451512,12,media,Edenor,La Matanza,Gonzalez Catan,S/D,R:Gonzalez Catan/168-Tr1/168-5511,163,2026-01-09 13:00,2026-01-09,12:49:28
-34.808324510,-58.617155784,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,146,2026-01-09 13:00,2026-01-09,12:49:28
-34.804477782,-58.625495957,12,media,Edenor,La Matanza,Gonzalez Catan,S/D,R:Gonzalez Catan/168-Tr1/168-5511,182,2026-01-09 13:00,2026-01-09,12:49:28
-34.803418879,-58.626701964,12,media,Edenor,La Matanza,Gonzalez Catan,S/D,R:Gonzalez Catan/168-Tr1/168-5511,61,2026-01-09 13:00,2026-01-09,12:49:28
-34.808889739,-58.618389314,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,332,2026-01-09 13:00,2026-01-09,12:49:28
-34.815567086,-58.626406280,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,11,2026-01-09 13:00,2026-01-09,12:49:28
-34.814495531,-58.623821651,12,media,Edenor,La Matanza,Virrey Del Pino,S/D,R:Gonzalez Catan/168-Tr1/168-5511,10,2026-01-09 13:00,2026-01-09,12:49:28
